,장기요양기관기호,장기요양기관유형코드,장기요양기관이름,시도코드,시군구코드,장기요양기관지정일,설치신고일자
253,11126000271,A03,서울시립중랑노인전문요양원,11,260,20150301,20150301
254,11126000271,G31,서울시립중랑노인전문요양원,11,260,20150301,20150301
255,11126000271,G32,서울시립중랑노인전문요양원,11,260,20150301,20150301
256,11126000284,A04,'(협)효마을 중랑 노인요양공동생활가정,11,260,20150601,20150601
257,11126000287,A03,상봉요양원요양센터,11,260,20150731,20150731
258,11126000291,A04,효심(다)요양원,11,260,20151001,20151001
259,11126000292,A04,효심(라)요양원,11,260,20151001,20151001
260,11126000300,A04,카멜리아요양원,11,260,20151222,20151222
261,11126000315,A04,우리가족요양원 1호점,11,260,20160701,20160701
262,11126000316,A04,우리가족요양원 2호점,11,260,20160701,20160701
263,11126000322,A03,영지요양원,11,260,20160825,20160825
264,11126000326,A04,평강요양원,11,260,20160906,20160906
265,11126000333,A04,가천요양원,11,260,20161101,20161101
266,11126000336,A04,엘림요양원,11,260,20161214,20161214
267,11126000342,A04,정원요양원,11,260,20170301,20170301
268,11126000359,A04,다애요양원,11,260,20170801,20170801
269,11126000361,A04,효심요양원1호,11,260,20170918,20170918
270,11126000362,A04,효심요양원2호,11,260,20170918,20170918
271,11126000438,A04,조은노인요양센터,11,260,20191201,20191201
272,11126000442,A03,골든시니어케어센터,11,260,20191209,20191209
273,11126000446,A03,A+평화요양원,11,260,20200210,20200210
274,11126000448,A04,사랑요양원,11,260,20200301,20200301
275,11126000450,A03,중랑삼성 요양원,11,260,20200326,20200326
276,11126000468,A03,장원서울요양원,11,260,20210302,20210302
277,11126000472,A04,새솔요양원,11,260,20210401,20210401
278,11126000476,A04,존엄케어노인전문요양원,11,260,20210601,20210601
279,11126000483,A04,*(ABC)우림요양센터,11,260,20210815,20210815
280,11126000487,A04,늘푸른요양원,11,260,20210901,20210901
281,11126000488,A04,늘푸른요양원 2호점,11,260,20210901,20210901
282,11126000508,A04,사랑채요양원,11,260,20220601,20220601
283,11126000509,A04,예원요양원,11,260,20220701,20220701
284,11126000510,A04,예원요양원 2호점,11,260,20220701,20220701
285,11126000516,A03,나눔요양원,11,260,20230101,20230101
286,11129000018,A03,일광노인요양센터,11,290,20080625,20080317
287,11129000020,A03,순애노인전문요양원,11,290,20080625,19990324
288,11129000078,A03,진각노인요양센터,11,290,20090918,20090918
289,11129000100,A03,길음안나의집 노인전문요양원,11,290,20100208,20100208
290,11129000104,A03,부모섬김노인요양원,11,290,20100301,20100301
291,11129000115,A03,케어윌,11,290,20100721,20100721
292,11129000127,A03,백마요양원,11,290,20110303,20110303
293,11129000139,A04,명성노인복지센터,11,290,20120203,20120203
294,11129000149,A03,성신노인요양원,11,290,20120921,20120921
295,11141000133,A04,연궁너싱홈,11,410,20110304,20110304
296,11141000149,A03,연희시니어스,11,410,20120927,20120927
297,11141000170,S41,중앙실버노인요양공동생활가정,11,410,20140103,20140103
298,11141000210,A03,효드림요양원,11,410,20160706,20160706
299,11141000224,A03,행복가득요양원,11,410,20171101,20171101
300,11141000227,A04,장수노인요양공동생활가정,11,410,20171115,20171115
301,11141000241,A03,노인요양시설 하늘정원실버케어,11,410,20181101,20181101
302,11141000292,A03,해든케어스요양원,11,410,20211119,20211119
303,11144000012,A03,시립서부노인전문요양센터,11,440,20080604,20080604
304,11144000012,G31,시립서부노인전문요양센터,11,440,20080604,20080604
305,11144000012,G32,시립서부노인전문요양센터,11,440,20080604,20080604
306,11144000012,G33,시립서부노인전문요양센터,11,440,20080604,20080604
307,11144000211,A03,노아 케어링하우스,11,440,20210701,20210701
308,11144000219,A03,서울특별시립마포실버케어센터,11,440,20220428,20220428
309,11147000005,A03,두엄자리,11,470,20080603,20050728
310,11147000013,A03,양천사랑마루,11,470,20080624,20080218
311,11147000076,A04,신목동 노인복지센터,11,470,20090713,20090713
312,11147000093,A04,나이팅게일 너싱홈,11,470,20090901,20090901
313,11147000121,A03,신목행복자리어르신요양센터,11,470,20100301,20100301
314,11147000124,A04,나눔의집,11,470,20100301,20100301
315,11147000126,A04,보람의집,11,470,20100128,20100128
316,11147000136,A03,양천어르신종합복지관 병설양천어르신요양센터,11,470,20100301,20100301
317,11147000183,A03,구립양천어르신요양센터,11,470,20110401,20110401
318,11147000221,A03,정다운요양원,11,470,20120525,20120525
319,11147000294,A04,목동조은요양원,11,470,20150601,20150601
320,11147000322,A03,신월실버요양원,11,470,20160901,20160901
321,11147000330,A03,실버캐슬요양타운,11,470,20170301,20170301
322,11147000330,G31,실버캐슬요양타운,11,470,20170301,20170301
323,11147000350,A03,올리사랑 요양원,11,470,20180301,20180301
324,11147000362,A03,하늘정원 요양원,11,470,20181001,20181001
325,11147000366,A03,목동평강 요양원,11,470,20181101,20181101
326,11147000383,A03,늘푸른 소망요양원,11,470,20190411,20190411
327,11147000473,A03,사랑초 요양원,11,470,20220701,20220701
328,11150000002,A03,행복한집,11,500,20060627,20060627
329,11150000003,A03,호선실버센터,11,500,20080613,20080228
330,11150000004,A03,천사노인요양원,11,500,20080620,19860701
331,11174000123,A04,흰돌장기요양센터1호점,11,740,20100301,20100301
332,11174000126,A03,그랜드너싱홈,11,740,20100301,20100301
333,11174000156,A03,성암장수마을,11,740,20110107,20110107
334,11174000191,A03,강동노인복지관 치매요양원,11,740,20120516,20120516
335,11174000195,A04,늘편한요양센터,11,740,20120920,20120920
336,11174000204,A04,늘편한요양센터2호,11,740,20130107,20130107
337,11174000208,A03,대한연세요양원,11,740,20130213,20130213
338,11174000217,A04,흰돌장기요양센터2호점,11,740,20130601,20130601
339,11174000218,A04,흰돌장기요양센터3호점,11,740,20130601,20130601
340,11174000222,A04,늘편한요양원,11,740,20130801,20130801
341,11174000228,A04,은혜요양원,11,740,20131129,20131129
342,11174000261,A03,강일성모노인요양원,11,740,20151202,20151202
343,11174000290,A03,마더노인요양센터,11,740,20161209,20161209
344,11174000310,A04,정원실버요양원,11,740,20180301,20180223
345,11174000311,A04,정원실버요양원 2호점,11,740,20180301,20180223
346,11174000335,A04,(A+)강동포도나무요양원 1호점,11,740,20190501,20190501
347,11174000336,A04,(A+)강동포도나무요양원 2호점,11,740,20190501,20190501
348,11174000376,A03,서울케어링하우스,11,740,20200626,20200626
349,11174000386,A03,벨포레스트,11,740,20210830,20210830
350,11174000386,G31,벨포레스트,11,740,20210830,20210830
351,11174000386,G32,벨포레스트,11,740,20210830,20210830
352,11174000394,A04,강동천호실버센터1호,11,740,20220401,20220401
353,11174000395,A04,강동천호실버센터2호,11,740,20220401,20220401
354,11174000401,A03,강동힐링요양원,11,740,20220801,20220801
355,11150000008,A03,시니어스너싱홈,11,500,20080627,20080507
356,11150000068,A03,한마음노인전문요양원,11,500,20090115,20090107
357,11150000154,A03,봄날서울요양원,11,500,20100507,20100507
358,11150000195,A04,온누리요양원,11,500,20110610,20110610
359,11150000238,A03,요안나요양원,11,500,20130701,20130701
360,11150000249,A03,봄날강서요양원,11,500,20131015,20131015
361,11150000249,M31,봄날강서요양원,11,500,20131015,20131015
362,11150000257,A03,선화요양원,11,500,20131125,20131125
363,11150000261,A04,케어콜요양원,11,500,20140210,20140210
364,11150000336,A03,강서사랑요양원,11,500,20160201,20160201
365,11150000339,A03,참사랑실버케어,11,500,20160316,20160316
366,11150000340,A03,햇살요양원,11,500,20160318,20160318
367,11150000351,A04,성심노인요양원,11,500,20160801,20160801
368,11150000376,A03,한가람요양원,11,500,20170213,20170213
369,11150000391,A03,행복마지요양원,11,500,20170609,20170609
370,11150000392,A04,희망요양원,11,500,20170609,20170609
371,11150000393,A04,새마음요양원,11,500,20170609,20170609
372,11150000399,A04,푸른솔요양원,11,500,20170828,20170828
373,11150000400,A04,푸른요양원,11,500,20170828,20170828
374,11150000401,A04,솔요양원,11,500,20170828,20170828
375,11150000429,A04,가족사랑노인요양원,11,500,20181105,20181105
376,11150000437,A03,늘푸른요양원,11,500,20190201,20190201
377,11150000468,A03,봄날실버센터,11,500,20191002,20191002
378,11150000518,A03,백영실버스테이,11,500,20210101,20210101
379,11150000521,A04,강서미소요양원,11,500,20210301,20210301
380,11150000532,A04,다복요양원,11,500,20210601,20210601
381,11150000553,A03,한솔요양원,11,500,20220214,20220214
382,11150000554,A04,밝은햇살요양원,11,500,20220301,20220301
383,11150000560,A04,맑은요양원,11,500,20220701,20220701
384,11150000561,A03,나오미요양원,11,500,20220701,20220701
385,11150000563,S41,강서실버요양원,11,500,20220801,20220801
386,11150000568,A03,경희요양원,11,500,20221001,20221001
387,11150000571,A03,수명산요양원,11,500,20221201,20221201
388,11150000573,A04,88소망요양원,11,500,20230101,20230101
389,11153000103,A04,행복요양원,11,530,20091106,20091106
390,11153000130,A04,효효마을,11,530,20100507,20100507
391,11153000136,A03,효도로 노인전문요양원,11,530,20100701,20100701
392,11153000178,A04,행복요양원2,11,530,20121101,20121101
393,11153000208,A03,미소들실버케어센터,11,530,20140401,20140401
394,11153000210,A03,구로푸른요양원,11,530,20140415,20140415
395,11153000215,A03,삼농실버마을,11,530,20140501,20140501
396,11153000234,A03,휴림실버요양센터,11,530,20150612,20150612
397,11153000246,A03,구로 미가 요양원,11,530,20151230,20151230
398,11153000267,A03,늘봄시니어케어센터,11,530,20161116,20161116
399,11153000309,A03,그린케어요양센터,11,530,20180701,20180701
400,11153000320,A04,소망요양원1,11,530,20190129,20190129
401,11153000321,A04,소망요양원2,11,530,20190129,20190129
402,11153000336,A04,강이보이는요양원,11,530,20191001,20191001
403,11153000356,A03,보라매요양원,11,530,20200103,20200103
404,11153000358,A03,메디치피아요양센터,11,530,20200304,20200304
405,11154500002,A03,남부실버요양원,11,545,20080506,20051206
406,11154500008,A03,노인요양센터 인영실버,11,545,20080613,20031223
407,11154500029,A03,남부실버요양센터 다솔관,11,545,20080731,20080729
408,11154500096,A03,로뎀복지요양원,11,545,20100225,20100225
409,11154500097,A04,청담노인복지센터,11,545,20100301,20100301
410,11154500101,A04,실버캐슬 요양센터,11,545,20100301,20100301
411,11154500142,A04,실버캐슬,11,545,20130315,20130315
412,11154500157,A03,임원요양원,11,545,20140901,20100301
413,11154500164,A04,대한실버하우스,11,545,20141022,20141022
414,11154500170,A03,금천구립사랑채요양원,11,545,20150301,20150301
415,11154500184,A04,주은요양원,11,545,20151201,20151201
416,11154500190,A04,실버캐슬요양원,11,545,20160801,20160801
417,11154500194,A03,사랑가득 요양원,11,545,20161101,20161101
418,11154500200,A03,가족사랑요양원,11,545,20170526,20170526
419,11154500205,A04,시니어실버타운1,11,545,20171201,20171201
420,11154500206,A04,시니어실버타운2,11,545,20171201,20171201
421,11154500209,A03,하나요양원,11,545,20180301,20180301
422,11154500213,A04,금천햇살요양원,11,545,20180801,20180801
423,11154500241,A03,섬기는 실버하우스 요양원,11,545,20201015,20201015
424,11154500244,A03,서울조은요양원,11,545,20201112,20201112
425,11154500251,A03,이삭요양원,11,545,20211201,20211201
426,11154500252,A04,강남가정요양원 3,11,545,20220501,20220501
427,11154500253,A04,강남가정요양원 4,11,545,20220501,20220501
428,11154500268,A03,금천에이스요양원,11,545,20221130,20221130
429,11156000001,A04,서울성모원 노인요양공동생활가정,11,560,20080521,20080324
430,11156000018,A03,서울특별시립 남부노인전문요양원,11,560,20080618,20050324
431,11156000018,G31,서울특별시립 남부노인전문요양원,11,560,20080618,20050324
432,11156000018,G32,서울특별시립 남부노인전문요양원,11,560,20080618,20050324
433,11156000023,A03,구립영등포노인케어센터,11,560,20080625,20080618
434,11156000049,A04,참노인요양원(공동생활가정),11,560,20081024,20081024
435,11156000057,A04,주현노인요양원(공동생활가정),11,560,20090121,20090106
436,11156000148,A04,미래요양원,11,560,20101230,20101230
437,11156000150,A04,미래요양원2,11,560,20110112,20110112
438,11156000190,A04,가족사랑2,11,560,20131001,20131001
439,11156000191,A04,가족사랑1,11,560,20131001,20131001
440,11156000193,A04,대림실버1 노인요양공동생활가정,11,560,20140220,20140220
